,X Avg,Y Avf
T_174565,127.0137956,37.49276424
T_173762,127.0138367,37.49442299
T_173763,127.0138652,37.49434119
T_174429,127.0138742,37.49397483
T_174568,127.013924,37.49278528
T_174428,127.0139681,37.49348959
T_171668,127.0139753,37.50893993
T_174566,127.0139789,37.49177435
T_173021,127.0140065,37.50877146
T_174567,127.0140934,37.49179349
T_171693,127.0141077,37.48822214
T_171655,127.0141265,37.48813265
T_174559,127.0141428,37.49078102
T_174335,127.0141668,37.50450885
T_170214,127.0141756,37.49413683
T_174442,127.0141947,37.49387803
T_174336,127.0142226,37.50467479
T_174441,127.0142258,37.4937344
T_173367,127.0142466,37.48590414
T_174564,127.0142514,37.49080384
T_174560,127.0143076,37.48978691
T_173370,127.014349,37.48594213
T_174203,127.0143788,37.50479733
T_174563,127.0144108,37.48981008
T_174561,127.0144717,37.48880266
T_174562,127.0145716,37.48881253
T_171695,127.0146407,37.48790883
T_171702,127.0146569,37.48660281
T_171686,127.0146929,37.48652105
T_173425,127.0146987,37.50476979
T_171701,127.0147338,37.48793028
T_173115,127.014805,37.4946922
T_173018,127.0148311,37.50201913
T_173040,127.0148332,37.49460321
T_171683,127.0148513,37.50210496
T_174754,127.0149051,37.49131526
T_171696,127.0149078,37.48712934
T_174761,127.0149163,37.49143734
T_171700,127.0149931,37.48718027
T_174553,127.0150654,37.49414265
T_174554,127.015115,37.49400935
T_173902,127.0152875,37.50930117
T_174539,127.0153027,37.48857804
T_173051,127.015306,37.50409036
T_173903,127.0153075,37.50915004
T_174540,127.015314,37.48848935
T_172555,127.0153609,37.48630139
T_173050,127.0153714,37.48486761
T_174205,127.0153858,37.50425162
T_171691,127.0154165,37.48475452
T_172558,127.0154454,37.48635563
T_173056,127.0157902,37.50217354
T_171708,127.0158799,37.50212297
T_172556,127.0159088,37.48539469
T_172557,127.0159992,37.48543219
T_173646,127.0160888,37.5122968
T_171710,127.0161561,37.50139054
T_173023,127.0161869,37.5014757
T_173114,127.0161909,37.49497499
T_173651,127.0161999,37.51231751
T_173041,127.0162279,37.49488873
T_173647,127.0163001,37.51121707
T_173901,127.0163387,37.50958467
T_174755,127.0163604,37.49140047
T_173904,127.0163657,37.50944393
T_174760,127.0164061,37.49152669
T_173650,127.0164081,37.51124094
T_173052,127.0164088,37.50354045
T_172567,127.0164904,37.4844345
T_174204,127.0165008,37.50369184
T_173055,127.0165577,37.50294691
T_173360,127.0165825,37.48447036
T_174552,127.0165924,37.49460677
T_173648,127.0166297,37.51015969
T_171709,127.0166373,37.502898
T_174555,127.0166481,37.49448341
T_172683,127.0166765,37.48511833
T_174538,127.0167266,37.48901001
T_172684,127.0167299,37.48500167
T_173649,127.0167364,37.5101818
T_174541,127.0167448,37.48893034
T_173054,127.0172317,37.50311075
T_174751,127.0174885,37.50993408
T_174752,127.0175276,37.50980133
T_173113,127.0175696,37.495295
T_173042,127.0176195,37.49521396
T_174756,127.0176306,37.49096926
T_171711,127.0176339,37.50078526
T_172682,127.0176407,37.48531784
T_173022,127.0176642,37.50087305
T_172685,127.0176798,37.48519808
T_174759,127.0177035,37.49108324
T_173093,127.0180227,37.50293318
T_174551,127.0181287,37.49507559
T_174537,127.0181465,37.48944073
T_174542,127.0181698,37.48936346
T_174556,127.0181846,37.49495515
T_170217,127.018203,37.48517841
T_170218,127.0182967,37.48525335
T_171774,127.0183412,37.51308641
T_173109,127.0184239,37.50311023
T_174757,127.0185157,37.49013492
T_174758,127.0186127,37.49021128
T_172468,127.0186492,37.48369859
T_170223,127.0186674,37.48445639
T_172467,127.0187163,37.48359894
T_171769,127.018733,37.51274876
T_171770,127.0187349,37.51386516
T_174750,127.018755,37.51033434
T_170224,127.0187701,37.48451861
T_174753,127.0188057,37.51021151
T_173913,127.0188826,37.48565383
T_171775,127.0188828,37.51230772
T_173764,127.0189111,37.50020079
T_173112,127.0189116,37.4957386
T_173914,127.0189123,37.48553313
T_173771,127.0189665,37.50029566
T_173043,127.0189693,37.49566032
T_170222,127.0190141,37.48523302
